cycle,contestant,age,height,hometown,finish,place,result
8,Renee DeWitt,20,,"Maui, Hawaii",Episode 13,3,E
8,Natasha Galkina,21,,"Dallas, Texas",Episode 12,2,E
8,Jaslene Gonzalez,20,,"Chicago, Illinois",Episode 12,1,W
9,Mila Bouzinova,20,,"Boston, Massachusetts",Episode 2,13,E
9,Kimberly Leemans,20,,"Ocala, Florida",Episode 3,12,E
9,Victoria Marshman,20,,"New Haven, Connecticut",Episode 4,11,E
9,Janet Mills,22,,"Bainbridge, Georgia",Episode 5,10,E
9,Ebony Morgan,20,,"Chicago, Illinois",Episode 6,9,Q
9,Sarah Hartshorne,20,,"Heath, Massachusetts",Episode 8,8,E
9,Ambreal Williams,19,,"Dallas, Texas",Episode 9,7,E
9,Lisa Jackson,20,,"Jersey City, New Jersey",Episode 10,6,E
9,Heather Kuzmich,21,,"Valparaiso, Indiana",Episode 11,5,E
9,Bianca Golden,18,,"Queens, New York",Episode 12,4,E
9,Jenah Doucette,18,,"Farmington, Connecticut",Episode 13,3,E
9,Chantal Jones,19,,"Austin, Texas",Episode 12,2,E
9,Saleisha Stowers,21,,"Los Angeles, California",Episode 12,1,W
10,Kim Rydzewski,20,,"Worcester, Massachusetts",Episode 2,14,Q
10,Atalya Slater,18,,"Brooklyn, New York",Episode 2,13,E
10,Allison Kuehn,19,,"Waunakee, Wisconsin",Episode 3,12,E
10,Amis Jenkins,20,,"Bartlesville, Oklahoma",Episode 4,11,E
10,Marvita Washington,23,,"San Francisco, California",Episode 5,10,E
10,Aimee Wright,18,,"Spanaway, Washington",Episode 6,9,E
10,Claire Unabia,24,,"New York, New York",Episode 7,8,E
10,Stacy-Ann Fequiere,22,,"Miami, Florida",Episode 9,7,E
10,Lauren Utter,22,,"Brooklyn, New York",Episode 10,6,E
10,Katarzyna Dolinska,22,,"Roslyn, New York",Episode 11,5,E
10,Dominique Reighard,23,,"Columbus, Ohio",Episode 12,4,E
10,Fatima Siad,22,,"Boston, Massachusetts",Episode 13,3,E
10,Anya Kop,19,,"Honolulu, Hawaii",Episode 13,2,E
10,Whitney Thompson,20,,"Atlantic Beach, Florida",Episode 13,1,W
11,Sharaun Brown,18,,"Chicago, Illinois",Episode 2,14,E
11,Nikeysha Clarke,19,,"Bronx, New York",Episode 3,13,E
11,Brittany Rubalcaba,19,,"Henderson, Nevada",Episode 4,12,E
11,Hannah White,18,,"Fairbanks, Alaska",Episode 5,11,EOP
11,Isis King,22,,"Prince George's County, Maryland",Episode 5,10,E
11,Clark Gilmer,19,,"Pawleys Island, South Carolina",Episode 6,9,E
11,Lauren Brie Harding,20,,"Charlottesville, Virginia",Episode 7,8,E
11,Joslyn Pennywell,23,,"Lucky, Louisiana",Episode 9,7,E
11,Sheena Sakai,21,,"Harlem, New York",Episode 10,6,E
11,Elina Ivanova,18,,"Seattle, Washington",Episode 11,5,E
11,Marjorie Conrad,19,,"San Francisco, California",Episode 12,4,E
11,Analeigh Tipton,19,,"Sacramento, California",Episode 13,3,E
11,Samantha Potter,18,,"Woodland Hills, California",Episode 13,2,E
11,McKey Sullivan,19,,"Lake Forest, Illinois",Episode 13,1,W
12,Isabella Falk,19,,"Barboursville, Virginia",Episode 2,13,E
12,Jessica Santiago,18,,"Caguas, Puerto Rico",Episode 3,12,E
12,Nijah Harris,18,,"Rancho Cucamonga, California",Episode 4,11,E
12,Kortnie Coles,24,,"Houston, Texas",Episode 5,10,E
12,Sandra Nyanchoka,19,,"Rockville, Maryland",Episode 6,9,E
12,Tahlia Brookins,18,,"Phoenix, Arizona",Episode 7,8,E
12,London Levi,18,,"Arlington, Texas",Episode 9,7,E
12,Natalie Pack,19,,"Palos Verdes, California",Episode 10,6,E
12,Fo Porter,19,,"Albuquerque, New Mexico",Episode 11,5,E
12,Celia Ammerman,25,,"Cynthiana, Kentucky",Episode 12,4,E
12,Aminat Ayinde,21,,"Union, New Jersey",Episode 13,3,E
12,Allison Harvard,20,,"New Orleans, Louisiana",Episode 13,2,E
12,Teyona Anderson,20,,"Woodstown, New Jersey",Episode 13,1,W
13,Lisa Ramos,19,5 ft 5 in,"Queens, New York",Episode 2,14,E
13,Rachel Echelberger,18,5 ft 5 in,"Woodland, California",Episode 3,13,EOP
13,Courtney Davies,22,5 ft 4 in,"Plantation, Florida",Episode 3,12,E
13,Lulu Braithwaite,19,5 ft 7 in,"Brooklyn, New York",Episode 4,11,E
13,Bianca Richardson,21,5 ft 7 in,"Columbia, South Carolina",Episode 5,10,E
13,Ashley Howard,22,5 ft 6 in,"Chicago, Illinois",Episode 6,9,E
13,Kara Vincent,18,5 ft 7 in,"Fort Wayne, Indiana",Episode 7,8,E
13,Rae Weisz,21,5 ft 6 in,"Rochester, Minnesota",Episode 8,7,E
13,Brittany Markert,21,5 ft 5 in,"Livermore, California",Episode 9,6,E
13,Sundai Love,18,5 ft 3 in,"Bakersfield, California",Episode 10,5,E
13,Jennifer An,23,5 ft 5 in,"Philadelphia, Pennsylvania",Episode 11,3,E
13,Erin Wagner,18,5 ft 6 in,"Spring Grove, Illinois",Episode 11,3,E
13,Laura Kirkpatrick,19,5 ft 6 in,"Stanford, Kentucky",Episode 12,2,E
13,Nicole Fox,18,5 ft 7 in,"Louisville, Colorado",Episode 12,1,W
14,Gabrielle Kniery,18,5 ft 7.5 in,"St. Louis, Missouri",Episode 2,13,E
14,Naduah Rugely,22,5 ft 7 in,"San Diego, California",Episode 2,12,E
14,Ren Vokes,22,5 ft 9 in,"Dallas, Texas",Episode 3,11,E
14,Simone Lewis,19,5 ft 10 in,"Lenexa, Kansas",Episode 4,10,E
14,Tatianna Kern,21,5 ft 9 in,"Ewa Beach, Hawaii",Episode 5,9,E
14,Brenda Arens,23,5 ft 11 in,"Houston, Texas",Episode 6,8,E
14,Anslee Payne-Franklin,23,5 ft 9 in,"Dacula, Georgia",Episode 7,7,E
14,Alasia Ballard,18,5 ft 9.75 in,"Marietta, Georgia",Episode 8,6,E
14,Jessica Serfaty,18,5 ft 9 in,"Conway, Arkansas",Episode 9,5,E
14,Angelea Preston,23,5 ft 10 in,"Buffalo, New York",Episode 10,3,E
14,Alexandra Underwood,21,5 ft 11 in,"Kerrville, Texas",Episode 10,3,E
14,Raina Hein,22,5 ft 9 in,"Minnetonka, Minnesota",Episode 11,2,E
14,Krista White,24,5 ft 9 in,"Pine Bluff, Arkansas",Episode 11,1,W
15,Anamaria Mirdita,18,5 ft 10 in,"Queens, New York",Episode 2,14,E
15,Terra White,24,5 ft 8.5 in,"Arlington, Texas",Episode 3,13,EOP
15,Sara Blackamore,21,5 ft 10 in,"Menifee, California",Episode 3,12,E
15,Rhianna Atwood,20,6 ft 1.5 in,"San Diego, California",Episode 4,11,E
15,Lexie Tomchek,18,6 ft 0 in,"Geneva, Illinois",Episode 5,10,E
15,Kacey Leggett,20,5 ft 9 in,"Palmdale, California",Episode 6,9,E
15,Kendal Brown,23,5 ft 11 in,"Northport, Alabama",Episode 7,8,E
15,Esther Petrack,18,5 ft 9 in,"Boston, Massachusetts",Episode 8,7,E
15,Liz Williams,21,5 ft 10 in,"Arlington, Texas",Episode 9,6,E
15,Chris White,20,5 ft 10.5 in,"Arlington, Texas",Episode 10,5,E
15,Kayla Ferrel,19,5 ft 9 in,"Rockford, Illinois",Episode 11,3,E
15,Jane Randall,19,5 ft 9 in,"Baltimore, Maryland",Episode 11,3,E
15,Chelsey Hersley,22,5 ft 10.75 in,"Boise, Idaho",Episode 13,2,E
15,Ann Ward,19,6 ft 2 in,"Dallas, Texas",Episode 13,1,W
16,Angelia Alvarez,20,5 ft 10 in,"Miami, Florida",Episode 1,14,E
16,Ondrei Edwards,18,5 ft 7 in,"Muskegon, Michigan",Episode 2,13,Q
16,Nicole Lucas,20,5 ft 11 in,"Orlando, Florida",Episode 2,12,E
16,Dominique Waldrup,23,5 ft 9 in,"Houston, Texas",Episode 3,11,E
16,Sara Longoria,18,5 ft 10 in,"Edinburg, Texas",Episode 4,10,E
16,Dalya Morrow,21,5 ft 9 in,"Corona, California",Episode 5,9,E
16,Monique Weingart,19,5 ft 11 in,"Hebron, Illinois",Episode 6,8,E
16,Mikaela Schipani,21,5 ft 9 in,"Boca Raton, Florida",Episode 7,7,E
16,Jaclyn Poole,19,5 ft 10 in,"Belton, Texas",Episode 8,6,E
16,Kasia Pilewicz,26,5 ft 9 in,"Wheaton, Illinois",Episode 10,5,E
16,Alexandria Everett,21,5 ft 10 in,"Newport Beach, California",Episode 11,4,E
16,Hannah Jones,20,5 ft 10 in,"Houston, Texas",Episode 12,3,E
16,Molly O'Connell,22,5 ft 10 in,"Charleston, South Carolina",Episode 13,2,E
16,Brittani Kline,19,5 ft 10.5 in,"Beech Creek, Pennsylvania",Episode 13,1,W
17,Brittany Brower,29,,"Tallahassee, Florida",Episode 1,14,E
17,Sheena Sakai,24,,"Harlem, New York",Episode 2,13,E
17,Isis King,25,,"Prince George's County, Maryland",Episode 3,12,E
17,Camille McDonald,33,,"Bronx, New York",Episode 4,11,E
17,Bre Scullark,26,,"Harlem, New York",Episode 6,10,E
17,Kayla Ferrel,20,,"Rockford, Illinois",Episode 7,8,E
17,Bianca Golden,22,,"Queens, New York",Episode 7,8,E
17,Alexandria Everett,22,,"Newport Beach, California",Episode 8,7,E
17,Shannon Stewart,26,,"Franklin, Ohio",Episode 9,6,E
17,Dominique Reighard,26,,"Columbus, Ohio",Episode 10,5,E
17,Laura Kirkpatrick,21,,"Stanford, Kentucky",Episode 12,4,E
17,Angelea Preston,24,,"Buffalo, New York",Episode 13,3,DQ
17,Allison Harvard,23,,"New Orleans, Louisiana",Episode 13,2,E
17,Lisa D'Amato,30,,"Los Angeles, California",Episode 13,1,W
18,Jasmia Robinson,24,5 ft 8.5 in,"London, England",Episode 1,14,E
18,Mariah Watchman,20,,"Pendleton, Oregon",Episode 2,13,E
18,Louise Watts,24,5 ft 8.5 in,"London, England",Episode 3,12,Q
18,Candace Smith,22,5 ft 9 in,"Brooklyn, New York",Episode 4,11,E
18,Ashley Brown,22,5 ft 8 in,"Armadale, Scotland",Episode 5,10,E
18,AzMarie Livingston,24,5 ft 9.75 in,"Milwaukee, Wisconsin",Episode 6,9,E
18,Kyle Gober,20,5 ft 10 in,"Magnolia, Texas",Episode 7,8,E
18,Seymone Cohen-Fobish,19,5 ft 11 in,"Augusta, Georgia",Episode 8,7,E
18,Catherine Thomas,22,5 ft 9 in,"Folkestone, England",Episode 9,6,E
18,Eboni Davis,18,5 ft 9 in,"Seattle, Washington",Episode 10,5,E
18,Alisha White,20,,"South London, England",Episode 10,4,Q
18,Annaliese Dayes,24,5 ft 7 in,"London, England",Episode 11,3,E
18,Laura LaFrate,20,5 ft 10.5 in,"Scotia, New York",Episode 13,2,E
18,Sophie Sumner,21,5 ft 9 in,"Oxford, England",Episode 13,1,W
19,Jessie Rabideau,23,5 ft 9.75 in,"Speedway, Indiana",Episode 2,13,E
19,Maria Tucker,22,5 ft 7.25 in,"Las Cruces, New Mexico",Episode 3,12,Q
19,Darian Ellis,22,5 ft 9 in,"Baton Rouge, Louisiana",Episode 3,11,E
19,Destiny Strudwick,18,5 ft 8.5 in,"Columbus, Ohio",Episode 4,10,E
19,Yvonne Powless,20,5 ft 8.5 in,"Minneapolis, Minnesota",Episode 6,9,E
19,Allyssa Vuelma,20,5 ft 10.5 in,"Fort Lauderdale, Florida",Episode 7,8,E
19,Brittany Brown,18,5 ft 10 in,"Gilbert, Arizona",Episode 8,7,E
19,Victoria Henley,18,5 ft 9.5 in,"Colquitt, Georgia",Episode 9,6,E
19,Kristin Kagay,19,5 ft 7.25 in,"Jacksonville, Florida",Episode 10,5,E
19,Nastasia Scott,19,5 ft 8.25 in,"East Stroudsburg, Pennsylvania",Episode 11,4,E
19,Leila Goldkuhl,20,5 ft 11 in,"Framingham, Massachusetts",Episode 12,3,E
19,Kiara Belen,22,5 ft 9 in,"Las Vegas, Nevada",Episode 12,2,E
19,Laura James,21,6 ft 0 in,"Cambridge, New York",Episode 12,1,W
20,Bianca Alexa,18,1.77 m,"Los Angeles, California",Episode 3,16,E
20,Chris Schellenger,24,1.76 m,"Houston, Texas",Episode 3,15,E
20,Chlea Ramirez,20,1.78 m,"Bear, Delaware",Episode 4,14,E
20,Mike Scocozza,27,1.95 m,"Los Angeles, California",Episode 5,13,E
20,Kanani Andaluz,19,1.71 m,"Chicago, Illinois",Episode 7,12,E
20,Jiana Davis,20,1.78 m,"Denver, Colorado",Episode 8,11,E
20,Phil Sullivan,24,1.92 m,"Lanesborough, Massachusetts",Episode 9,10,E
20,Alex Agro,21,1.76 m,"Palm City, Florida",Episode 11,9,E
20,Don Benjamin,25,1.83 m,"Minneapolis, Minnesota",Episode 12,8,E
20,Nina Burns,18,1.74 m,"Berkeley Heights, New Jersey",Episode 13,7,E
20,Jeremy Rohmer,19,1.90 m,"Mission Viejo, California",Episode 13,6,E
20,Renee Bhagwandeen,24,1.73 m,"Fort Lauderdale, Florida",Episode 14,5,E
20,Chris Hernandez,25,1.86 m,"North Bergen, New Jersey",Episode 14,4,E
20,Cory Hindorff,22,1.88 m,"Philadelphia, Pennsylvania",Episode 16,3,E
20,Marvin Cortes,20,1.85 m,"The Bronx, New York",Episode 16,2,E
20,Jourdan Miller,19,1.85 m,"Bend, Oregon",Episode 16,1,W
21,Ivy Timlin,20,5 ft 8 in,"Buffalo, New York",Episode 3,14,E
21,Romeo Tostado,23,6 ft 0.5 in,"Salinas, California",Episode 5,13,DQ
21,Ben Schreen,24,6 ft 3 in,"Waverly, Iowa",Episode 6,12,E
21,Kari Calhoun,23,5 ft 8.5 in,"Coppell, Texas",Episode 7,11,E
21,Matthew Smith,24,6 ft 4 in,"Highlands Ranch, Colorado",Episode 8,10,E
21,Denzel Wells,23,5 ft 10.25 in,"Houston, Texas",Episode 9,9,E
21,Mirjana Puhar,18,5 ft 8.5 in,"Charlotte, North Carolina",Episode 10,8,E
21,Raelia Lewis,22,6 ft 0.5 in,"Philadelphia, Pennsylvania",Episode 12,7,E
21,Chantelle Young,19,5 ft 8.25 in,"Toronto, Ontario, Canada",Episode 13,6,E
21,Shei Phan,23,5 ft 9.25 in,"Oklahoma City, Oklahoma",Episode 14,5,E
21,Lenox Tillman,19,5 ft 9.5 in,"Newnan, Georgia",Episode 16,4,E
21,Adam Smith,26,5 ft 10.25 in,"Memphis, Tennessee",Episode 16,3,E
21,Will Jardell,23,6 ft 4.75 in,"Nederland, Texas",Episode 16,2,E
21,Keith Carlos,26,6 ft 1 in,"Bridgeport, Connecticut",Episode 16,1,W
22,Delanie Dischert,21,5 ft 10.5 in,"Wilmington, Delaware",Episode 3,14,E
22,Stefano Churchill,23,6 ft 1 in,"Virginia Beach, Virginia",Episode 4,13,E
22,Ava Capra,19,5 ft 5 in,"Los Angeles, California",Episode 6,12,E
22,Ashley Molina,21,5 ft 7 in,"Brooklyn, New York",Episode 7,11,E
22,Courtney DuPerow,21,5 ft 3 in,"Avon Lake, Ohio",Episode 8,10,E
22,Bello Sanchez,26,5 ft 9 in,"Los Angeles, California",Episode 8,9,E
22,Justin Kim,23,6 ft 1 in,"Springfield, Virginia",Episode 9,8,E
22,Dustin McNeer,18,6 ft 0 in,"Kernersville, North Carolina",Episode 10,7,E
22,Hadassah Richardson,23,5 ft 6 in,"Houston, Texas",Episode 12,6,E
22,Devin Clark,21,6 ft 2 in,"San Francisco, California",Episode 13,5,E
22,Michael Heverly,25,6 ft 2 in,"Hollywood, Florida",Episode 16,3,E
22,Lacey Rogers,18,5 ft 8 in,"El Dorado, Arkansas",Episode 16,3,E
22,Mame Adjei,23,5 ft 8 in,"Silver Spring, Maryland",Episode 16,2,E
22,Nyle DiMarco,25,6 ft 2 in,"Washington, D.C.",Episode 16,1,W
23,Justine Biticon,18,,"Panorama City, California",Episode 2,14,E
23,Cherish Waters,25,,"Los Angeles, California",Episode 3,13,E
23,Giah Hardeman,21,,"Bryan-College Station, Texas",Episode 5,12,E
23,Krislian Rodriguez,25,,"Los Angeles, California",Episode 6,11,E
23,Kyle McCoy,23,,"Darien, Connecticut",Episode 7,10,E
23,Binta Dibba,25,,"Seattle, Washington",Episode 8,9,E
23,Marissa Hopkins,18,,"Houston, Texas",Episode 9,8,E
23,Paige Mobley,22,,"Birmingham, Michigan",Episode 10,7,E
23,Tash Wells,26,,"San Jose, California",Episode 11,6,E
23,Cody Wells,26,,"San Jose, California",Episode 12,5,E
23,Courtney Nelson,25,,"San Francisco, California",Episode 14,4,E
23,Cory Anne Roberts,19,,"Los Angeles, California",Episode 15,3,E
23,Tatiana Price,21,,"Queens, New York",Episode 15,2,E
23,India Gants,20,,"Seattle, Washington",Episode 15,1,W
